제목,요약문(300자 내외),핵심어(keyword,쉼표로 구분),조회날짜,실제자료조회 출처(웹 자료링크),원출처 (기관명 등),제작자(Copyright 소유)
0001,북한의 보건의료와 여성건강상태에 관한 고찰,본 연구는 북한의 보건의료 정책 및 현황과 여성건강 정책을 분석하고 여성건강 실태를 확인하여 여성건강 증진에 기여하고자 한다. 이에 북한의 보건의료 정책 및 현황과 여성건강 정책을 분석하고 여성건강 실태를 확인하여 여성건강 증진에 기여하고자 한다. 북한 여성의 건강증진을 위해서는 부족한 의료시설 및 의약품의 보급, 의학 분야의 최신 정보에 의한 현대화된 의료인 훈련, 전국 수준의 보건 행정 및 기관의 교육, 의학 교육과 간호교육을 위한 교과과정 개발과 교과서 및 실습의 향상이 요구된다.,정신보건시설, 대처유형
0001,EU의 SAPARD를 원용한 북한의 농업,농촌개발,본고는 체제전환과정에 있는 중동부유럽국가들을 공동체회원국으로 편입하려고 추진 중인 유럽연합의 사례를 원용하여, 향후 안정적인 남북한 농업부문, 교류협력을 위하여 낙후된 북한의 농촌지역을 개발하기 위한 농업·농촌지원프로그램을 제시하는데 목적이 있다. 이런 맥락에서 유럽연합 SAPARD의 경험에 비추어 북한의 농업·농촌지원프로그램을 생산, 유통, 농촌개발
0001,북한 탄소시장 잠재력 추정 연구 -에너지 부문을 중심으로-,본 연구에서는 북한의 탄소 시장의 잠재력을, 거시적인 관점에서, 에너지 부문을 중심으로 하여 검토하였다. 북한의 전력 효율, 석탄 위주의 연료 구성 등은 남한과 비교해 보았을 때 온실가스 측면에서 바람직하지 못하고, 뒤집어 생각해 보면 그만큼 개선할 여지가 많다고 볼 수 있다. 그러나 전 세계적인 탄소 시장의 확대에도 불구하고, 북한의 산업 기반이나 불확실성 등으로 인해 CDM사업의 수익성은 극히 불투명하므로 CDM사업만을 고려한다면 매력적인 시장은 아니다. 그러나 이미 여러 가지 이유로 무상
0001,북한의 농업ㆍ식량 사정과 대응 방향,,북한농업, 식량부족, 대북지원, 농업협력, 식량수급
0002,북한의 전력증산정책과 과제,1987년 이후 북한이 화력발전소를 새로 건설한 것은 년 평양시에 난방용 열을 공급하기 1994 위한 5만kW의 소규모 열병합발전소밖에 없으며, 그 이후 화력발전소 증설은 멈추었다. 그러나 수력발전 설비는 1990년 이후에도 계속 늘려 나갔다. 북한은 해방 후 일제가 건설한 수풍과 허천강, 장진강 등 총용량 168만kW의 6개 수력발전소 를 보유하지만 전쟁으로 많은 설비들을 상실하게 된다. 전후 1950년대는 수력발전소의 복구에 힘쓰지만, 제1차 7개년계획 연도인 1960년 초중반에는 처음으로 화력발전소를 건설하기 시작했다.,화력발전, 설비규모
0002,북한의 전력증산정책과 과제,북한은 화력발전소에 의한 전력공급 증대에 소극적인 대신에 화석에너지가 아니면서 국내에 가용할 수 있는 자원을 최대한 활용하여 전력공급을 늘리는 정책을 꾸준히 추진해 왔다. 화석에너지가 아닌 자연 조건을 활용한 전력은 환경 친화적이지만 효율이 낮다. 국제적으로 도 신재생에너지로는 아직 대규모 전력공급이 어려운 단계이다. 북한은 이 같은 자연 자원들의 약점들을 기술개발을 통해 극복하려 노력해 왔다. 1998년부터 시작된 북한의 ‘국가과학기술발전 5개년계획’을 보면, 인민경제 기술분야에서 에너지는 항상 주력 기술개발 대상이 되었다. 한편, 수력분야에서는 수력터빈의 효율화와 댐 구조물 기술을 강조하였고 석탄 지하가스의 , 전력화, 차세대 핵융합 분열 혼성원자로 개발도 전력의 중점 기술개발분야이다.,5개년개획.
0002,북한의 전력증산정책과 과제,기술개발은 사회 전반의 기술인프라와 투자 재원에 따라 그 성과를 달리하기 때문에 북한의 이와 같은 기술발전계획들이 원활하게 추진될 수 있을지는 의문이다. 하지만 이러한 계획에 비추어 볼 때 북한이 전력공급 증강을 위해 기술개발을 크게 강조하고 있음을 엿볼 수 있다. 북한이 전력공급 증대를 위해 추구하는 또 하나의 방안은 러시아 극동에서 전력을 공급 받는 것이다.,전력증산정책, 신재생에너지,16.05,https://www.kdi.re.kr/common/report_download.jsp?list_no=14720_2_2_2728&member_pub=2&type=art&cacheclear=10,정우진 | 에너지경제연구원 객원연구위원
0002,북한의 전력증산정책과 과제,화력발전이 정체된 상황에서 북한의 현 전력증산의 가장 큰 공급원은 수력발전이다. 북한의 지형은 산이 많고 고낙차를 이용할 수 있는 산골짜기가 잘 형성되어 크고 작은 하천들이 발달되어 있기 때문에 수자원을 효과적으로 활용할 수 있는 여건을 갖추었다. 여러 매체 보도나 자료들을 종합해 볼 때 2000년 이후 북한의 수력발전소는 약 90만kW가 신축된 것으로 추정된다. 화력발전을 포함할 때 2000년 이후 북한의 전체 전력증산율은 약 12% 수준으로 그 증가량이 크지 않다. 북한의 많은 화력발전소와 수력발전소들이 노후화로 설비 효율이 낮아졌음을 감안한다면 현재 북한의 전력사정은 2000년 이전보다 더 나아졌다고 보기는 어렵다.,수력발전, 증설된,,16.05,https://www.kdi.re.kr/common/report_download.jsp?list_no=14720_2_2_2728&member_pub=2&type=art&cacheclear=11
0002,북한의 전력증산정책과 과제,북한에서 소형 태양광이나 풍력이 빠르게 보급되는 것은 경제성보다는 송배전망에 의한 전력공급이 열악한 것이 주된 이유로 보인다. 비록 전력용량 규모는 작지만 조명기구나 , 기초적인 가전제품을 사용할 수 있다는 점에서 전기 혜택을 잘 받지 못하는 북한의 주민들에게 는 중요한 전력공급원이 되기 때문이다. 따라서 앞으로도 북한에서는 소규모 신재생에너지 발전기들이 지속적으로 확산될 것으로 예상된다. 북한이 외국 자본과 기술을 얼마나 잘 활용하는가가 북한이 설정한 기술발전 목표에 접근하는 길이라 하겠다.,태양발전, 태양광, 신재생에너지,16.05
0002,북한의 최근 에너지 동향과 재생에너지 확대 움직임,북한은 2014년 ‘자연에네르기 중장기 개발계획’을 수립해 2044년까지 재생에너지 발전설비 용량을 500만kW로 확대할 계획이며, 상업시설 중심으로 태양광 설치가 증가하고 있다.,에너지동향, 재생에너지,18.10.09,https://www.industrynews.co.kr/news/articleView.html?idxno=27148
